power_supply_id,product_id,form_factor,efficiency_rating,wattage,modular,color
351374,137951,ATX,80+ Gold,750 W,Full,
351375,137952,ATX,80+ Silver,400 W,No,
351376,137953,ATX,80+ Gold,900 W,Full,
351377,137954,ATX,80+ Gold,700 W,No,
351378,137955,ATX,,650 W,No,
351379,137956,ATX,80+ Bronze,750 W,No,
351380,137957,ATX,80+ Titanium,1050 W,Full,
351381,137958,ATX,80+ Bronze,600 W,No,
351382,137959,ATX,,300 W,No,
351383,137960,ATX,80+ Bronze,600 W,No,
351384,137961,ATX,,500 W,No,
351385,137962,ATX,80+ Bronze,730 W,No,Black / Red
351386,137963,ATX,80+ Gold,400 W,No,
351387,137964,ATX,,850 W,No,
351388,137965,ATX,80+ Gold,500 W,Semi,
351389,137966,ATX,80+ Silver,700 W,Semi,
351390,137967,ATX,80+ Gold,1050 W,Full,
351391,137968,ATX,80+ Bronze,750 W,Semi,
351392,137969,ATX,80+ Bronze,500 W,No,
351393,137970,ATX,80+ Bronze,1000 W,Full,
351394,137971,ATX,,400 W,No,
351395,137972,ATX,,600 W,Full,
351396,137973,ATX,80+ Bronze,300 W,No,
351397,137974,ATX,,300 W,No,
351398,137975,ATX,80+ Bronze,550 W,No,
351399,137976,ATX,80+,400 W,No,
351400,137977,ATX,80+ Bronze,500 W,Full,Black
351401,137978,ATX,,450 W,No,
351402,137979,ATX,80+ Bronze,875 W,Full,
351403,137980,Mini ITX,,200 W,No,
351404,137981,ATX,,300 W,No,
351405,137982,ATX,80+ Gold,550 W,Semi,
351406,137983,ATX,80+ Bronze,750 W,No,
351407,137984,ATX,80+ Bronze,550 W,No,
351408,137985,ATX,80+ Bronze,750 W,Semi,White / Black
351409,137986,ATX,,700 W,No,
351410,137987,ATX,80+ Bronze,750 W,No,
351411,137988,ATX,80+ Bronze,450 W,No,
351412,137989,ATX,80+ Gold,680 W,Semi,
351413,137990,ATX,80+ Bronze,850 W,Semi,
351414,137991,ATX,80+ Silver,750 W,Semi,
351415,137992,ATX,80+ Bronze,550 W,Semi,
351416,137993,ATX,80+ Bronze,650 W,No,
351417,137994,ATX,80+ Gold,500 W,No,
351418,137995,ATX,,675 W,No,
351419,137996,ATX,80+ Gold,750 W,Full,
351420,137997,ATX,80+ Gold,430 W,Semi,
351421,137998,ATX,80+ Platinum,850 W,Full,
351422,137999,ATX,,480 W,No,
351423,138000,ATX,80+ Gold,500 W,Semi,
351424,138001,ATX,80+ Bronze,450 W,Semi,
351425,138002,ATX,80+ Gold,750 W,No,
351426,138003,ATX,80+ Bronze,430 W,No,
351427,138004,ATX,80+ Gold,1350 W,No,Black
351428,138005,ATX,80+ Bronze,800 W,Semi,
351429,138006,ATX,80+ Gold,500 W,No,
351430,138007,ATX,80+ Gold,650 W,No,
351431,138008,ATX,,600 W,No,
351432,138009,ATX,80+ Gold,550 W,Full,
351433,138010,ATX,80+ Bronze,650 W,Semi,
351434,138011,ATX,,520 W,No,
351435,138012,ATX,80+ Bronze,550 W,No,
351436,138013,ATX,80+ Bronze,525 W,No,
351437,138014,ATX,,380 W,No,
351438,138015,ATX,80+ Bronze,600 W,No,
351439,138016,ATX,80+,1200 W,Full,
351440,138017,ATX,,460 W,No,
351441,138018,ATX,80+ Gold,450 W,No,
351442,138019,ATX,80+ Gold,750 W,Semi,
351443,138020,ATX,80+ Bronze,430 W,No,
351444,138021,ATX,80+,620 W,Semi,
351445,138022,ATX,80+ Bronze,650 W,No,
351446,138023,ATX,80+ Bronze,700 W,Semi,
351447,138024,ATX,,600 W,No,
351448,138025,Micro ATX,,255 W,No,
351449,138026,ATX,80+ Platinum,400 W,No,
351450,138027,ATX,,470 W,No,
351451,138028,ATX,80+,750 W,No,
351452,138029,ATX,80+ Bronze,450 W,No,
351453,138030,ATX,80+ Bronze,650 W,Semi,Black
351454,138031,ATX,80+ Gold,760 W,Full,
351455,138032,ATX,,575 W,No,
351456,138033,ATX,80+ Bronze,550 W,No,
351457,138034,ATX,80+ Gold,650 W,Full,Black
351458,138035,ATX,80+ Bronze,750 W,No,
351459,138036,ATX,80+ Gold,650 W,No,
351460,138037,ATX,80+,550 W,No,
351461,138038,ATX,,600 W,No,
351462,138039,ATX,80+ Gold,550 W,No,
351463,138040,SFX,,350 W,No,
351464,138041,ATX,80+ Bronze,650 W,Semi,
351465,138042,BTX,80+ Titanium,850 W,Full,Black
351466,138043,ATX,80+ Gold,850 W,Full,Black
351467,138044,ATX,80+ Gold,550 W,No,
351468,138045,ATX,80+ Platinum,550 W,No,
351469,138046,ATX,80+ Gold,550 W,Full,
351470,138047,ATX,80+ Gold,850 W,Full,Black
351471,138048,ATX,80+ Gold,450 W,Semi,
